# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S01.450	the earthquake	ss	earthquake%1:11:00::	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
S01.510	the sky	ss	sky%1:17:00::	the atmosphere and outer space as viewed from the earth
S01.520	the sun	ss	sun%1:17:00::	the star that is the source of light and heat for the planets in the solar system; "the sun contains 99.85% of the mass in the solar system"; "the Earth revolves around the Sun"
S01.530	the moon	ss	moon%1:17:01::	the natural satellite of the Earth; "the average distance to the Moon is 384,400 kilometers"; "men first stepped on the moon in 1969"
S01.540	the star	ss	star%1:17:01::	any celestial body visible (as a point of light) from the Earth at night
S01.550	the lightning	ss	lightning%1:19:00::	abrupt electric discharge from cloud to cloud or from cloud to earth accompanied by the emission of light
S01.560	the thunder	ss	thunder%1:11:01::	a booming or crashing noise caused by air expanding along the path of a bolt of lightning
S01.570	the bolt of lightning	ss	bolt_of_lightning%1:19:00::	a discharge of lightning accompanied by thunder
S01.580	the storm	ss	storm%1:19:00::	a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
S01.590	the rainbow	ss	rainbow%1:17:00::	an arc of colored light in the sky caused by refraction of the sun's rays by rain
S01.610	the light	ss	light%1:07:01::	the quality of being luminous; emitting or reflecting light; "its luminosity is measured relative to that of our sun"
S01.620	the darkness	ss	darkness%1:26:00::	absence of light or illumination
S01.630	the shade or shadow	ui	shade%1:26:00::	relative darkness caused by light rays being intercepted by an opaque body; "it is much cooler in the shade"; "there's too much shadiness to take good photographs"
S01.630	the shade or shadow	ui	shadow%1:26:01::	shade within clear boundaries
S01.640	the dew	ss	dew%1:27:00::	water that has condensed on a cool surface overnight from water vapor in the air; "in the morning the grass was wet with dew"
S01.710	the air	ss	air%1:27:00::	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; "air pollution"; "a smell of chemicals in the air"; "open a window and let in some air"; "I need some fresh air"
S01.720	the wind	ss	wind%1:19:00::	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure; "trees bent under the fierce winds"; "when there is no wind, row"; "the radioactivity was being swept upwards by the air current and out into the atmosphere"
S01.730	the cloud	ss	cloud%1:17:00::	a visible mass of water or ice particles suspended at a considerable altitude
S01.740	the fog	ss	fog%1:19:00::	droplets of water vapor suspended in the air near the ground
S01.750	the rain	ss	rain%1:19:00::	water falling in drops from vapor condensed in the atmosphere
S01.760	the snow	ss	snow%1:19:00::	precipitation falling from clouds in the form of ice crystals
